A_ID,父母A,B_ID,父母B,结果_ID,配种结果,去除重复,a+b,“去除重复”列的筛选如果只选 TRUE ，则每种配方只出现一次，方便人眼看，但不方便父母列的搜索。请根据需要筛选此列
71,霜歌龙,11,企丸王,100,阿努比斯,FALSE,82,,
11,企丸王,71,霜歌龙,100,阿努比斯,TRUE,82,,
72,浪刃武士,11,企丸王,100,阿努比斯,FALSE,83,,
11,企丸王,72,浪刃武士,100,阿努比斯,TRUE,83,,
29,波霸牛,58,邪麒麟,100,阿努比斯,TRUE,87,,
58,邪麒麟,29,波霸牛,100,阿努比斯,FALSE,87,,
33,雷胖达,57,吹雪狐,100,阿努比斯,TRUE,90,,
57,吹雪狐,33,雷胖达,100,阿努比斯,FALSE,90,,
60,霹雳犬,33,雷胖达,100,阿努比斯,FALSE,93,,
33,雷胖达,60,霹雳犬,100,阿努比斯,TRUE,93,,
58,邪麒麟,36,美露帕,100,阿努比斯,FALSE,94,,
36,美露帕,58,邪麒麟,100,阿努比斯,TRUE,94,,
37,紫霞鹿,58,邪麒麟,100,阿努比斯,TRUE,95,,
58,邪麒麟,37,紫霞鹿,100,阿努比斯,FALSE,95,,
58,邪麒麟,37,祇岳鹿,100,阿努比斯,FALSE,95,,
37,祇岳鹿,58,邪麒麟,100,阿努比斯,TRUE,95,,
60,霹雳犬,38,疾风隼,100,阿努比斯,FALSE,98,,
38,疾风隼,60,霹雳犬,100,阿努比斯,TRUE,98,,
58,火麒麟,42,炽焰牛,100,阿努比斯,FALSE,100,,
42,炽焰牛,58,火麒麟,100,阿努比斯,TRUE,100,,
43,趴趴鲶,58,邪麒麟,100,阿努比斯,TRUE,101,,
33,雷胖达,68,猫蝠怪,100,阿努比斯,TRUE,101,,
58,邪麒麟,43,趴趴鲶,100,阿努比斯,FALSE,101,,
68,猫蝠怪,33,雷胖达,100,阿努比斯,FALSE,101,,
73,迅雷鸟,29,波霸牛,100,阿努比斯,FALSE,102,,
29,波霸牛,73,迅雷鸟,100,阿努比斯,TRUE,102,,
40,炎魔羊,65,流沙蛇,100,阿努比斯,TRUE,105,,
40,暗魔羊,65,滑水蛇,100,阿努比斯,TRUE,105,,
65,滑水蛇,40,暗魔羊,100,阿努比斯,FALSE,105,,
40,炎魔羊,65,滑水蛇,100,阿努比斯,TRUE,105,,
65,滑水蛇,40,炎魔羊,100,阿努比斯,FALSE,105,,
40,暗魔羊,65,流沙蛇,100,阿努比斯,TRUE,105,,
65,流沙蛇,40,暗魔羊,100,阿努比斯,FALSE,105,,
65,流沙蛇,40,炎魔羊,100,阿努比斯,FALSE,105,,
51,女皇蜂,55,疾旋鼬,100,阿努比斯,TRUE,106,,
55,疾旋鼬,51,女皇蜂,100,阿努比斯,FALSE,106,,
73,迅雷鸟,35,灌木羊,100,阿努比斯,FALSE,108,,
35,灌木羊,73,迅雷鸟,100,阿努比斯,TRUE,108,,
33,叶胖达,75,暗巫猫,100,阿努比斯,TRUE,108,,
75,暗巫猫,33,叶胖达,100,阿努比斯,FALSE,108,,
85,佩克龙,25,鲁米儿,100,阿努比斯,FALSE,110,,
85,派克龙,25,鲁米儿,100,阿努比斯,FALSE,110,,
25,鲁米儿,85,佩克龙,100,阿努比斯,TRUE,110,,
25,鲁米儿,85,派克龙,100,阿努比斯,TRUE,110,,
73,迅雷鸟,37,紫霞鹿,100,阿努比斯,FALSE,110,,
37,紫霞鹿,73,迅雷鸟,100,阿努比斯,TRUE,110,,
71,烽歌龙,41,幻悦蝶,100,阿努比斯,FALSE,112,,
41,幻悦蝶,71,烽歌龙,100,阿努比斯,TRUE,112,,
51,女皇蜂,61,苍焰狼,100,阿努比斯,TRUE,112,,
61,苍焰狼,51,女皇蜂,100,阿努比斯,FALSE,112,,
58,火麒麟,55,疾旋鼬,100,阿努比斯,FALSE,113,,
72,浪刃武士,41,幻悦蝶,100,阿努比斯,FALSE,113,,
55,疾旋鼬,58,火麒麟,100,阿努比斯,TRUE,113,,
41,幻悦蝶,72,浪刃武士,100,阿努比斯,TRUE,113,,
60,霹雳犬,54,毛老爹,100,阿努比斯,FALSE,114,,
54,毛老爹,60,霹雳犬,100,阿努比斯,TRUE,114,,
25,鲁米儿,90,雪猛犸,100,阿努比斯,TRUE,115,,
90,雪猛犸,25,鲁米儿,100,阿努比斯,FALSE,115,,
64,雷冠龙,51,女皇蜂,100,阿努比斯,FALSE,115,,
51,女皇蜂,64,花冠龙,100,阿努比斯,TRUE,115,,
51,女皇蜂,64,雷冠龙,100,阿努比斯,TRUE,115,,
64,花冠龙,51,女皇蜂,100,阿努比斯,FALSE,115,,
96,焰煌,20,草莽猪,100,阿努比斯,FALSE,116,,
20,草莽猪,96,焰煌,100,阿努比斯,TRUE,116,,
29,波霸牛,88,寒霜兽,100,阿努比斯,TRUE,117,,
88,寒霜兽,29,波霸牛,100,阿努比斯,FALSE,117,,
33,叶胖达,84,狱焰王,100,阿努比斯,TRUE,117,,
84,狱焰王,33,叶胖达,100,阿努比斯,FALSE,117,,
80,精灵龙,40,炎魔羊,100,阿努比斯,FALSE,120,,
40,炎魔羊,80,精灵龙,100,阿努比斯,TRUE,120,,
36,美露帕,85,派克龙,100,阿努比斯,TRUE,121,,
85,派克龙,36,美露帕,100,阿努比斯,FALSE,121,,
102,清雀,20,草莽猪,100,阿努比斯,FALSE,122,,
20,草莽猪,102,清雀,100,阿努比斯,TRUE,122,,
68,猫蝠怪,54,毛老爹,100,阿努比斯,FALSE,122,,
38,疾风隼,84,狱焰王,100,阿努比斯,TRUE,122,,
54,毛老爹,68,猫蝠怪,100,阿努比斯,TRUE,122,,
84,狱焰王,38,疾风隼,100,阿努比斯,FALSE,122,,
88,寒霜兽,35,灌木羊,100,阿努比斯,FALSE,123,,
35,灌木羊,88,寒霜兽,100,阿努比斯,TRUE,123,,
52,笑魇猫,71,霜歌龙,100,阿努比斯,TRUE,123,,
71,霜歌龙,52,笑魇猫,100,阿努比斯,FALSE,123,,
99,冥铠蝎,25,鲁米儿,100,阿努比斯,FALSE,124,,
25,鲁米儿,99,冥铠蝎,100,阿努比斯,TRUE,124,,
52,笑魇猫,72,浪刃武士,100,阿努比斯,TRUE,124,,
72,浪刃武士,52,笑魇猫,100,阿努比斯,FALSE,124,,
41,幻悦蝶,84,狱阎王,100,阿努比斯,TRUE,125,,
88,寒霜兽,37,祇岳鹿,100,阿努比斯,FALSE,125,,
84,狱阎王,41,幻悦蝶,100,阿努比斯,FALSE,125,,
88,寒霜兽,37,紫霞鹿,100,阿努比斯,FALSE,125,,
37,紫霞鹿,88,寒霜兽,100,阿努比斯,TRUE,125,,
37,祇岳鹿,88,寒霜兽,100,阿努比斯,TRUE,125,,
83,冰棘兽,47,天擒鸟,100,阿努比斯,FALSE,130,,
47,天擒鸟,83,冰棘兽,100,阿努比斯,TRUE,130,,
57,吹雪狐,74,燧火鸟,100,阿努比斯,TRUE,131,,
83,冰棘兽,48,山岳射手,100,阿努比斯,FALSE,131,,
83,冰棘兽,48,羽箭射手,100,阿努比斯,FALSE,131,,
74,燧火鸟,57,吹雪狐,100,阿努比斯,FALSE,131,,
48,山岳射手,83,冰棘兽,100,阿努比斯,TRUE,131,,
48,羽箭射手,83,冰棘兽,100,阿努比斯,TRUE,131,,
102,朱雀,31,鲨小子,100,阿努比斯,FALSE,133,,
31,红小鲨,102,朱雀,100,阿努比斯,TRUE,133,,
31,红小鲨,102,清雀,100,阿努比斯,TRUE,133,,
102,朱雀,31,红小鲨,100,阿努比斯,FALSE,133,,
31,鲨小子,102,朱雀,100,阿努比斯,TRUE,133,,
102,清雀,31,红小鲨,100,阿努比斯,FALSE,133,,
104,百合女王,29,波霸牛,100,阿努比斯,FALSE,133,,
29,波霸牛,104,百合女王,100,阿努比斯,TRUE,133,,
42,炽焰牛,92,铠格力斯,100,阿努比斯,TRUE,134,,
108,圣光骑士,26,猎狼,100,阿努比斯,FALSE,134,,
26,猎狼,108,圣光骑士,100,阿努比斯,TRUE,134,,
92,铠格力斯,42,炽焰牛,100,阿努比斯,FALSE,134,,
56,雷角马,79,绸笠蛾,100,阿努比斯,TRUE,135,,
99,冥铠蝎,36,美露帕,100,阿努比斯,FALSE,135,,
